osm_id,lon,lat,building_tag,name,용도분류,판정단계,판정근거
w344011544,126.989116,37.564519,yes,한경직 목사 기념관,종교·문화,L3,명칭 '한경직 목사 기념관' 중 '기념관'
w344644290,126.975705,37.564013,yes,연호빌딩,상업·업무,L2,office=yes
w344644338,126.976171,37.564246,office,,상업·업무,L1,building=office
w344644495,126.974828,37.563686,commercial,서소문한화빌딩,상업·업무,L1,building=commercial
w344645394,126.972893,37.561354,commercial,퍼시픽타워,상업·업무,L1,building=commercial
w344645395,126.973522,37.560707,commercial,대한상공회의소,상업·업무,L1,building=commercial
w344898638,126.975203,37.550521,yes,,미분류,-,OSM 내 용도 근거 없음
w344898639,126.976663,37.547235,school,,공공·교육,L1,building=school
w344898640,126.975145,37.549826,yes,,미분류,-,OSM 내 용도 근거 없음
w344898641,126.972237,37.549587,yes,,상업·업무,L4,내부 POI 1개: Hyundai
w344898642,126.974303,37.548741,yes,,미분류,-,OSM 내 용도 근거 없음
w344898643,126.975441,37.549915,yes,,미분류,-,OSM 내 용도 근거 없음
w344898644,126.972483,37.547154,yes,,미분류,-,OSM 내 용도 근거 없음
w344898645,126.972103,37.548453,yes,,상업·업무,L4,"내부 POI 2개: Honda KCC, SG 레일"
w344898646,126.977279,37.547950,yes,,미분류,-,OSM 내 용도 근거 없음
w344898647,126.973369,37.547625,yes,,미분류,-,OSM 내 용도 근거 없음
w344898648,126.974111,37.548652,yes,,미분류,-,OSM 내 용도 근거 없음
w344898649,126.977607,37.548371,yes,,상업·업무,L4,내부 POI 1개: amenity=cafe
w344898650,126.974964,37.550561,yes,,상업·업무,L4,내부 POI 1개: GS25 용산동자점
w344898651,126.972190,37.548998,yes,갑을빌딩,상업·업무,L3,명칭 '갑을빌딩' 중 '빌딩'
w344898652,126.976544,37.547745,school,,공공·교육,L1,building=school
w344898653,126.973247,37.547713,yes,,미분류,-,OSM 내 용도 근거 없음
w344898654,126.976166,37.547413,school,,공공·교육,L1,building=school
w344898655,126.977793,37.549862,yes,,미분류,-,OSM 내 용도 근거 없음
